other_variant our_variant phenotype phenotype_group other_variant_chr other_variant_start other_variant_rank our_variant_chr our_variant_start our_variant_rank phenotype_chr phenotype_start distance_between_variants distance_between_other_variant_and_pheno other_variant_region_index our_variant_region_index region_start region_end variant_count_in_region RTC D' r^2
rs5750673 rs55850024 ENSG00000100211.6 ENSG00000100211.6 22 39110124 0 22 39116391 0 22 39052641 6267 57483 65627 65627 38869501 39151500 340 0.994118 NA 0.884013
rs968451 rs34698021 ENSG00000100311.12 ENSG00000100311.12 22 39670851 0 22 39663150 0 22 39640756 7701 30095 65647 65647 39660501 39757500 243 0.967078 NA 0.975388
rs2267407 rs909685 ENSG00000100321.10 ENSG00000100321.10 22 39747050 0 22 39747671 0 22 39745930 621 1120 65647 65647 39660501 39757500 243 0.962963 NA 0.362516
rs909685 rs909685 ENSG00000100321.10 ENSG00000100321.10 22 39747671 0 22 39747671 0 22 39745930 0 1741 65647 65647 39660501 39757500 243 1 1 1
rs2069235 rs909685 ENSG00000100321.10 ENSG00000100321.10 22 39747780 0 22 39747671 0 22 39745930 109 1850 65647 65647 39660501 39757500 243 0.995885 NA 0.974451
rs4822024 rs4820438 ENSG00000100413.12 ENSG00000100413.12 22 41757647 0 22 41767135 0 22 41940610 9488 182963 65675 65675 41214501 41955500 1020 0.994118 NA 0.700981
rs9611565 rs4820438 ENSG00000100413.12 ENSG00000100413.12 22 41767486 0 22 41767135 0 22 41940610 351 173124 65675 65675 41214501 41955500 1020 0.99902 NA 0.948057
rs2234052 rs4820438 ENSG00000100413.12 ENSG00000100413.12 22 41777241 0 22 41767135 0 22 41940610 10106 163369 65675 65675 41214501 41955500 1020 0.97451 NA 0.512233
rs5758343 rs4820438 ENSG00000100413.12 ENSG00000100413.12 22 41816652 0 22 41767135 0 22 41940610 49517 123958 65675 65675 41214501 41955500 1020 0.920588 NA 0.50312
rs2234052 rs9607799 ENSG00000167074.9 ENSG00000167074.9 22 41777241 0 22 41777558 0 22 41763337 317 13904 65675 65675 41214501 41955500 1020 0.99902 NA 0.993892
rs5758343 rs9607799 ENSG00000167074.9 ENSG00000167074.9 22 41816652 0 22 41777558 0 22 41763337 39094 53315 65675 65675 41214501 41955500 1020 0.961765 NA 0.819262
rs4822024 rs202638 ENSG00000167077.7 ENSG00000167077.7 22 41757647 0 22 41855458 0 22 42095503 97811 337856 65675 65675 41214501 41955500 1020 0.935294 NA 0.654351
rs5758343 rs202638 ENSG00000167077.7 ENSG00000167077.7 22 41816652 0 22 41855458 0 22 42095503 38806 278851 65675 65675 41214501 41955500 1020 0.967647 NA 0.680668
rs4822044 rs5758406 ENSG00000100417.7 ENSG00000100417.7 22 41979668 0 22 42076641 0 22 41985894 96973 6226 65677 65677 41959501 42285500 518 0.942085 NA 0.825422
rs1062753 rs9611710 ENSG00000183066.10 ENSG00000183066.10 22 42392811 0 22 42409977 0 22 42394729 17166 1918 65681 65681 42345501 42687502 682 0.98827 NA 0.97976
rs9607868 rs9611710 ENSG00000183066.10 ENSG00000183066.10 22 42414181 0 22 42409977 0 22 42394729 4204 19452 65681 65681 42345501 42687502 682 0.986804 NA 0.980088
rs1065852 rs9611710 ENSG00000183066.10 ENSG00000183066.10 22 42526694 0 22 42409977 0 22 42394729 116717 131965 65681 65681 42345501 42687502 682 0.900293 NA 0.499931
rs5751191 rs133339 ENSG00000198951.6 ENSG00000198951.6 22 42370991 0 22 42416987 0 22 42466846 45996 95855 65681 65681 42345501 42687502 682 0.958944 NA 0.739937
rs133383 rs133339 ENSG00000198951.6 ENSG00000198951.6 22 42473603 0 22 42416987 0 22 42466846 56616 6757 65681 65681 42345501 42687502 682 0.926686 NA 0.635873
rs36093924 rs133339 ENSG00000198951.6 ENSG00000198951.6 22 42538399 0 22 42416987 0 22 42466846 121412 71553 65681 65681 42345501 42687502 682 0.956012 NA 0.624874
rs138177673 rs47341 ENSG00000100300.12 ENSG00000100300.12 22 43549115 0 22 43560763 0 22 43547520 11648 1595 65703 65703 43504503 43570502 172 0.994186 NA 0.869626
rs138918 rs47341 ENSG00000100300.12 ENSG00000100300.12 22 43559451 0 22 43560763 0 22 43547520 1312 11931 65703 65703 43504503 43570502 172 0.988372 NA 0.849594
rs5771225 rs5771095 ENSG00000073169.9 ENSG00000073169.9 22 50639473 0 22 50635627 0 22 50639408 3846 65 65981 65981 50614544 50879856 658 0.924012 NA 0.351279
rs7511006 rs5771095 ENSG00000073169.9 ENSG00000073169.9 22 50676259 0 22 50635627 0 22 50639408 40632 36851 65981 65981 50614544 50879856 658 0.933131 NA 0.358265
rs5771109 rs5771095 ENSG00000073169.9 ENSG00000073169.9 22 50678571 0 22 50635627 0 22 50639408 42944 39163 65981 65981 50614544 50879856 658 0.949848 NA 0.503125
rs131777 rs131779 ENSG00000130487.4 ENSG00000130487.4 22 50991033 0 22 50988193 0 22 50986462 2840 4571 65985 65985 50937857 51073856 341 0.964809 NA 0.43984
